Menu Item,Ingredient_1,Ingredient_2
Butter Chicken,Chicken,Butter
Chicken Biryani,Chicken,Basmati Rice
Masala Dosa,Rice and Lentil Batter,Potato Masala
Thali,Assorted dishes,Rice or Bread
Tandoori Roti,Wheat Flour,Yeast or Baking Powder
Chole Bhature,Chickpeas,Wheat Flour
Paneer Tikka,Paneer,Yogurt
Chicken Curry,Chicken,Curry Paste or Powder
Aloo Paratha,Wheat Flour,Potato
Rajma Chawal,Kidney Beans,Rice
Jalebi,Maida (Refined Wheat Flour),Sugar
Palak Paneer,Spinach,Paneer
Fish Curry,Fish,Curry Paste or Powder
Chana Masala,Chickpeas,Masala (Spice Mix)
Bhindi Masala,Okra,Masala (Spice Mix)
Malai Kofta,Paneer,Cream
Pav Bhaji,Mixed Vegetables,Pav (Bread)
Egg Curry,Eggs,Curry Paste or Powder
Tandoori Fish,Fish,Yogurt
Naan,Wheat Flour,Yeast or Baking Powder
Mango Lassi,Mango,Yogurt
Veg Biryani,Basmati Rice,Assorted Vegetables
Masala Chai,Tea Leaves,Spices
Tandoori Roti,Wheat Flour,Yeast or Baking Powder
Aloo Paratha,Wheat Flour,Potato
Bisi Bele Bath,Rice,Lentils
Pani Puri,Semolina (Sooji),Chickpeas
Fish Curry,Fish,Curry Paste or Powder
Chole Bhature,Chickpeas,Wheat Flour
Masala Dosa,Rice and Lentil Batter,Potato Masala
Vegetable Pulao,Basmati Rice,Assorted Vegetables
Shahi Tukda,Bread,Milk
Chicken Kebab,Chicken,Spices
Malai Kulfi,Milk,Cream
Rabri,Milk,Sugar
Ice Cream,Milk,Cream
Rajma Chawal,Kidney Beans,Rice
Gajar Halwa,Carrots,Milk
Malpua,Flour,Sugar Syrup
Veg Biryani,Basmati Rice,Assorted Vegetables
Falooda,Milk,Falooda Sev (Vermicelli)
Aloo Paratha,Wheat Flour,Potato
Dal Makhani,Lentils,Cream
Kheer,Rice,Milk
Butter Chicken,Chicken,Butter
Jalebi,Maida (Refined Wheat Flour),Sugar
Paneer Tikka,Paneer,Yogurt
Rasmalai,Milk,Sugar
Chicken Tikka,Chicken,Spices
Rabri,Milk,Sugar
Pista Kulfi,Milk,Pistachios
Bhindi Masala,Okra,Masala (Spice Mix)
Lassi,Yogurt,Sugar
Mutton Curry,Mutton,Curry Paste or Powder
Aloo Gobi,Potato,Cauliflower
Malai Kulfi,Milk,Cream
Tandoori Roti,Wheat Flour,Yeast or Baking Powder
Kesar Pista Lassi,Yogurt,Saffron
Palak Paneer,Spinach,Paneer
Mango Kulfi,Mango,Milk
Kaju Katli,Cashews,Sugar
Mutton Rogan Josh,Mutton,Yogurt
Jalebi,Maida (Refined Wheat Flour),Sugar
Chicken Tikka,Chicken,Spices
Rasmalai,Milk,Sugar
Vegetable Biryani,Basmati Rice,Assorted Vegetables
Dal Makhani,Lentils,Cream
Kulfi Falooda,Kulfi,Falooda Sev (Vermicelli)
Aloo Paratha,Wheat Flour,Potato
Moong Dal Halwa,Moong Dal (Green Gram),Ghee (Clarified Butter)
Butter Chicken,Chicken,Butter
Paneer Butter Masala,Paneer,Butter
Chicken Tikka,Chicken,Spices
Baingan Bharta,Eggplant,Spices
Chole Bhature,Chickpeas,Wheat Flour
Pista Kulfi,Milk,Pistachios
Mutton Curry,Mutton,Curry Paste or Powder
Aam Ras,Mango,Sugar
Malai Kulfi,Milk,Cream
Moong Dal Halwa,Moong Dal (Green Gram),Ghee (Clarified Butter)
Shahi Tukda,Bread,Milk
Lassi,Yogurt,Sugar
Paneer Tikka,Paneer,Yogurt
Chicken Tikka Masala,Chicken,Masala (Spice Mix)
Rajma Chawal,Kidney Beans,Rice
Naan,Wheat Flour,Yeast or Baking Powder
Chicken Saagwala,Chicken,Spinach
Thandai,Milk,Nuts and Spices
Dum Aloo,Potatoes,Spices
Paan Ice Cream,Milk,Paan Leaves
Aloo Gobi,Potato,Cauliflower
Butter Naan,Wheat Flour,Butter
Kesar Pista Kulfi,Milk,"Saffron, Pistachios"
Lassi,Yogurt,Sugar
Veg Hakka Noodles,Noodles,Assorted Vegetables
Thandai,Milk,Nuts and Spices
Veg Korma,Assorted Vegetables,Korma Sauce
Mango Kulfi,Mango,Milk
Falooda,Milk,Falooda Sev (Vermicelli)
Dal Makhani,Lentils,Cream
Coconut Ladoo,Coconut,Sugar
Chicken Tandoori,Chicken,Tandoori Masala
Pista Kulfi,Milk,Pistachios
Suji Halwa,Semolina (Sooji),Sugar
Chicken Korma,Chicken,Korma Sauce
Mysore Pak,Chickpea Flour (Besan),Ghee (Clarified Butter)
Biryani,Basmati Rice,Meat or Vegetables
Samosa,Flour,Potato and Peas Filling
Aloo Tikki,Potatoes,Spices
Vegetable Biryani,Basmati Rice,Assorted Vegetables
Chicken Tikka,Chicken,Spices
Chaat,Various Chutneys,Yogurt
Mutton Kofta,Mutton,Spices
Pav Bhaji,Mixed Vegetables,Pav (Bread)
Chicken Fried Rice,Chicken,Rice
Chicken Noodles,Chicken,Noodles
Veg Pulao,Basmati Rice,Assorted Vegetables
Hyderabadi Biryani,Basmati Rice,Meat or Vegetables
Vegetable Spring Roll,Vegetables,Spring Roll Wrappers
Chicken Tikka Masala,Chicken,Masala (Spice Mix)
Mutton Biryani,Mutton,Basmati Rice
Dahi Puri,Yogurt,Tamarind Chutney
