Ingredient Name,Quantity,Used By
Assorted Dishes,100,30 days
Assorted Vegetables,150,7 days
Bread,200,5 days
Carrots,50,10 days
Cashews,80,30 days
Chicken,120,3 days
Chickpea Flour (Besan),90,60 days
Chickpeas,100,90 days
Coconut,70,14 days
Eggplant,60,7 days
Eggs,30,14 days
Fish,80,3 days
Flour,100,30 days
Kidney Beans,50,60 days
Kulfi,40,30 days
Lentils,60,90 days
Maida (Refined Wheat Flour),75,60 days
Mango,30,7 days
Milk,200,5 days
Mixed Vegetables,120,7 days
Moong Dal (Green Gram),70,90 days
Mutton,90,3 days
Noodles,80,60 days
Okra,60,7 days
Paneer,100,14 days
Potato,50,30 days
Rice and Lentil Batter,100,14 days
Semolina (Sooji),60,90 days
Spinach,40,7 days
Tea Leaves,30,30 days
Various Chutneys,60,14 days
Vegetables,100,7 days
Wheat Flour,80,60 days
Yogurt,150,7 days
Butter,50,14 days
Cauliflower,70,7 days
Cream,100,14 days
Curry Paste or Powder,40,30 days
Falooda Sev (Vermicelli),30,60 days
Ghee (Clarified Butter),50,30 days
Korma Sauce,40,14 days
Masala (Spice Mix),60,30 days
Meat or Vegetables,90,3 days
Nuts and Spices,80,30 days
Paan Leaves,30,14 days
Pav (Bread),120,5 days
Pistachios,40,30 days
Rice or Bread,100,5 days
Saffron,20,60 days
Spices,70,30 days
Spring Roll Wrappers,50,60 days
Sugar,150,30 days
Sugar Syrup,40,30 days
Tamarind Chutney,30,14 days
Tandoori Masala,60,30 days
Yeast or Baking Powder,30,90 days
